Entity,AttributeName,Attribute
笋兰,界,植物界
笋兰,门,被子植物门
笋兰,纲,单子叶植物纲
笋兰,科,兰科
笋兰,属,笋兰属
茶园,起源,中国
茶园,所在地,烟台
浦江,中文名,浦江县
浦江,行政类别,县
浦江,行政类别,县
败血症,传染病,否
drug,中文名,Drug
导游,英文名,Guide
鹤山,行政类别,县级市
泰,笔画,10
泰,部首,水
周安民,国籍,中国
Lauraceae,界,植物界
地衣,外文名,lichen
地衣,界,真菌界
溯,笔画,13
茎芥菜,界,植物界
茎芥菜,门,被子植物门
茎芥菜,纲,双子叶植物纲
茎芥菜,科,十字花科
茎芥菜,属,芸薹属
鼠曲草,界,植物界
岩土,涉及工程,岩土工程
ARM,中文名称,arm
果子,性别,女
果子,国籍,中国
果子,出生地,江西
果子,民族,汉族
缬草,界,植物界
僧帽水母,界,动物界
僧帽水母,门,腔肠动物门
僧帽水母,属,僧帽水母属
僧帽水母,分布区域,热带海洋
五列木,界,植物界
五列木,纲,双子叶植物纲
五列木,亚纲,五桠果亚纲
五列木,目,山茶目
五列木,科,五列木科
镀,笔画,14
山姜,中文学名,白术
山姜,界,植物界
山姜,门,被子植物门
山姜,纲,双子叶植物纲
山姜,亚纲,菊亚纲
山姜,目,菊目
山姜,科,菊科
山姜,属,苍术属
山姜,种,白术
涩,笔画,10
鲈,界,动物界
叶子奇,性别,男
叶子奇,民族族群,汉族
叶子奇,出生日期,1327年
叶子奇,去世日期,1390年
榭,笔画,14
榭,部首,木
包子,副作用,无
包子,发明者,诸葛亮
海龟科,界,动物界
海龟科,门,脊索动物门
海龟科,纲,爬行纲
海龟科,目,龟鳖目
瑞利,国籍,英国
瑞利,毕业院校,剑桥大学
招,笔画,8
招,部首笔划,3
红灯,界,植物界
红灯,种,樱桃
茶叶树,中文学名,流苏树
茶叶树,界,植物界
茶叶树,门,被子植物门
茶叶树,纲,双子叶植物纲
茶叶树,科,木犀科
茶叶树,属,流苏树属
茶叶树,种,流苏树
百山祖,所在地,丽水市
百山祖,类别,风景名胜
百分数,英文名,percent
高斯得,性别,男
高斯得,国籍,中国
小兰花,中文学名,山薄荷
小兰花,别名,兰香草
小兰花,界,植物界
小兰花,门,被子植物门
小兰花,纲,木兰纲
小兰花,目,唇形目
小兰花,科,马鞭草科
小兰花,属,莸属
小兰花,种,兰香草
斜纹猫蛛,界,动物界
斜纹猫蛛,纲,蛛形纲
今颚总目,别名,突胸总目
今颚总目,界,动物界
萌发,词性,动词
萌发,常用领域,生物学
斑鳍白姑鱼,界,动物界
斑鳍白姑鱼,门,脊索动物门
斑鳍白姑鱼,目,鲈形目
斑鳍白姑鱼,亚目,鲈亚目
斑鳍白姑鱼,科,石首鱼科
单项工程,性质,工程项目
林麝,界,动物界
储,笔画,12
血铅,季节分布,四季
血铅,传染病,否
血铅,就诊科室,内科
遵化,中文名,遵化市
遵化,著名景点,清东陵
遵化,地标建筑,清东陵
遵化,行政类别,县级市
遵化,地方特产,香菇
联想,创建时间,1989年
联想,首席运营官,柳传志
赵荣琛,民族,汉
赵荣琛,国籍,中国
木瓜属,界,植物界
迩,笔画,8
亚热带,又 名,副热带
当地,词性,名词
当地,属性,位置
施氏鲟,界,动物界
施氏鲟,族,鲟
施氏鲟,门,脊索动物门
施氏鲟,亚门,脊椎动物亚门
施氏鲟,纲,鱼
施氏鲟,目,鲟形目
施氏鲟,科,鲟科
施氏鲟,属,鲟属
聚果榕,界,植物界
聚果榕,门,种子植物门
聚果榕,纲,双子叶植物纲
聚果榕,科,桑科
聚果榕,属,榕属
红葡萄酒,防腐剂,否
箭鱼,中文学名,剑鱼
箭鱼,界,动物界
箭鱼,门,脊索动物门
箭鱼,纲,硬骨鱼纲
箭鱼,目,鲈形目
箭鱼,种,剑鱼
眼角,作 者,人民大众
警犬,界,动物界
警犬,门,脊索动物门
警犬,亚门,脊椎动物亚门
警犬,纲,哺乳纲
警犬,亚纲,真兽亚纲
警犬,目,食肉目
警犬,科,犬科
警犬,属,犬属
明祖陵,著名景点,洪泽湖
明祖陵,类别,名胜古迹
明祖陵,文物等级,全国重点文物保护单位
方向盘,形状,圆形
王棕,界,植物界
钱清江,别名,西小江
钱清江,长度,33
钱清江,源头,浦阳江
钱清江,源头海拔,108
六斑月瓢虫,界,动物界
六斑月瓢虫,纲,昆虫纲
六斑月瓢虫,目,鞘翅目
六斑月瓢虫,科,瓢虫科
白花,地区,日本
白花,语言,日语
密山,别称,东安
密山,行政类别,县级市
番椒,界,植物界
荆树,界,植物界
荆树,科,豆科
荆树,属,金合欢属
邯郸市,中文名,邯郸
邯郸市,市花、市树,月季
莫科,国籍,中国
莫科,国籍,中国
莫科,性别,男
莫科,运动项目,篮球
Class,中文名,网络协议
李建文,民族,汉族
李建文,国籍,中国
李建文,职业,医生
刚果嗜皮菌,科,放线菌科
刚果嗜皮菌,属,放线菌属
稻亚科,界,植物界
稻亚科,门,被子植物门
稻亚科,纲,单子叶植物纲
稻亚科,目,禾本目
稻亚科,科,禾本科
圣彼得堡,别称,列宁格勒
圣彼得堡,建立时间,1703年
聚花果,别名,复果
聚花果,界,植物界
聚花果,门,被子植物
聚花果,纲,双子叶植物
荷木,中文学名,木荷
荷木,界,植物界
荷木,门,被子植物门
荷木,纲,双子叶植物纲
荷木,科,山茶科
荷木,属,木荷属
黑颈鹤,界,动物界
铜皮,界,植物界
铜皮,科,猕猴桃科
边际生产力,提出人,克拉克
绿叶伞兰,界,植物界
绿叶伞兰,科,百合科
马萨诸塞州大学,类型,公立大学
吩,笔画,7
吩,部首,口
讹,笔画,6
李调元,国籍,中国
冻豆腐,主要原料,黄豆
冻豆腐,防腐剂,否
银鹊树,界,植物界
银鹊树,门,被子植物
银鹊树,纲,双子叶植物
银鹊树,亚纲,蔷薇
银鹊树,科,省沽油
明史,语种,汉语
明史,出版社,中华书局
星子县,行政类别,县
星子县,地方方言,赣语
星子县,行政类别,县
星子县,地方方言,赣语
黑寡妇,出生地,斯大林格勒
黑寡妇,性别,女
黑寡妇,出生日期,1928年
猩猩科,界,动物界
张如屏,国籍,中国
张如屏,去世日期,1983年
张如屏,职业,政治
张如屏,政党,中国共产党
马鞭草属,界,植物界
安西县,地理位置,河西走廊
安西县,政府驻地,渊泉镇
安西县,气候条件,大陆性气候
安西县,行政类别,县
阔叶猕猴桃,界,植物界
秦州,中文名,秦州区
秦州,行政类别,市辖区
皱果苋,界,植物界
红小豆,中文学名,赤豆
红小豆,界,植物界
玉帘属,界,植物界
玄武岩,首次记载,1546年
春蓼,拉丁学名,Polygonum persicaria
春蓼,界,植物界
秀吉,类别,历史
秀吉,拍摄地点,日本
秀吉,制片地点,日本
秀吉,颜色,彩色
枣林杂俎,语种,中文
枣林杂俎,开本,32
枣林杂俎,出版时间,2006年
西南风,作者,前门
亚,笔画,6
亚,部首,二
亚,部首笔划,2
加利福利亚州,中文名,加利福尼亚州
加利福利亚州,所属地区,美国
加利福利亚州,政府驻地,萨克拉门托
西汉,帝王数,14
西汉,建立者,刘邦
西汉,主要宗教,道教
西汉,政体,君主专制政体
西汉,所属洲,亚洲
西汉,主要民族,汉族
纯白色,作词者,山野
纯白色,专辑语言,国语
植,笔画,12
植,部首,木
植,部首笔划,4
米西奥内斯省,所属地区,阿根廷
大流,性别,男
大流,国籍,中国
柳河,性别,男
柳河,国籍,韩国
植物研究,类别,学术
植物研究,语种,中文
植物研究,主办单位,东北林业大学
植物研究,出版周期,季刊
v,地区,马来西亚
平板,WiFi功能,有
平板,3G功能,有
台榭,领域,古代建筑
风鳗,界,动物界
风鳗,科,鳗鲡科
青麻,中文名,苎麻根
青麻,界,植物界
青麻,门,被子植物门
青麻,纲,双子叶植物纲
青麻,目,蔷薇目
青麻,科,荨麻科
青麻,种,苎麻根
城市污水,处理,污水处理厂
Sp,外文名,sp
螺丝钉,地区,大陆
螺丝钉,播放期间,2010年
羚,笔画,11
羚,部首,羊
QT,研发时间,1991年
三叶木通,界,植物界
球花,界,植物界
球花,门,被子植物门
球花,科,蔷薇科
ppp,中文名,PPP
鹅耳枥属,界,植物界
云南白杨,中文学名,滇杨
云南白杨,界,植物界
云南白杨,种,滇杨
中南海,所在地,北京
中南海,修建时间,辽代
中南海,门票价格,无
墨梅,朝代,元代
墨梅,文学体裁,七言绝句
白令,中文名,维他斯·白令
白令,性别,男
燕鳐,界,动物界
燕鳐,目,颌针鱼目
红丁,性别,男
金豆,籍贯,河北
金豆,国籍,中国
紫珍珠,界,植物界
紫珍珠,门,被子植物门
紫珍珠,纲,双子叶植物纲
紫珍珠,目,蔷薇目
紫珍珠,科,景天科
陈荣,民族,汉族
陈荣,国籍,中国
陈荣,职业,摄影师
赤芍,中文学名,川赤芍
赤芍,界,植物界
开瓶,出版时间,2009年
界河,所在洲,亚洲
草苁蓉,中文学名,独根草
草苁蓉,界,植物界
阡,笔画,5
中山区,行政类别,市辖区
田畴,性别,男
田畴,国籍,中国
粉苞苣,界,植物界
粉苞苣,科,菊科
对外贸易,简称,外贸
楂,笔画,13
楂,部首,木
楂,部首笔划,4
萝芙木,界,植物界
白菜,界,植物界
Bi,中文名称,铋
Bi,周期,6
Bi,元素分区,p
Pteridospermae,界,植物界
鞍,笔画,15
鞍,部首,革
大火草,界,植物界
青番茄,创建时间,2010年8月
桯,笔画,11
桯,部首,木
桯,部首笔划,4
嘉兴,中文名,嘉兴市
嘉兴,建立时间,242年
嘉兴,政府驻地,南湖区
嘉兴,行政类别,地级市
嘉兴,行政类别,地级市
网管,岗位性质,技术
汪德耀,国籍,中国
集团公司,主要联结纽带,资本
奥尔洛夫,性别,男
奥尔洛夫,国籍,苏联
奥尔洛夫,职业,天文学家
劳斯,总部地点,德国
劳斯,成立时间,1928年
辣椒疫霉,界,真菌界
辣椒疫霉,门,真菌门
辣椒疫霉,亚门,鞭毛菌亚门
辣椒疫霉,纲,藻状菌纲
辣椒疫霉,目,霜霉目
辣椒疫霉,科,腐霉科
绿色,英文名,green
酌,笔画,10
酌,部首,酉
酌,部首笔划,7
通草汤,药品类别,中药
贱,笔画,9
贱,部首,贝
伊尔库茨克,所属地区,俄罗斯
伊尔库茨克,建立时间,1937年
松下,创建时间,1918年
马明堂,性别,男
马明堂,国籍,中国
僧,笔画,14
瑞香属,界,植物界
缒,笔画,12
缒,部首笔划,3
鞠,笔画,17
鞠,部首,革
鞠,造字法,形声
簸,笔画,19
簸,部首,竹
长宁,中文名,长宁县
长宁,政府驻地,长宁镇
长宁,行政类别,县
报岁兰,界,植物界
报岁兰,门,被子植物门
报岁兰,纲,单子叶植物纲
报岁兰,科,兰科
报岁兰,属,兰属
报岁兰,种,墨兰
福建省,行政类别,省
榆尺蠖,界,动物界
榆尺蠖,目,鳞翅目
库克群岛,所属洲,大洋洲
库克群岛,官方语言,英语
库克群岛,时区,UTC-10
库克群岛,国际域名缩写,ck
黄檀属,界,植物界
黄檀属,门,被子植物门
黄檀属,纲,双子叶植物纲
黄檀属,亚纲,蔷薇亚纲
黄檀属,目,豆目
黄檀属,亚科,蝶形花科
海南油杉,界,植物界
海南油杉,分布区域,海南
高州,行政类别,县级市
细菌性痢疾,病原学,志贺氏菌
细菌性痢疾,传染病,是
细菌性痢疾,发病部位,腹部
钝,笔画,9
雅利安人,界,动物界
雅利安人,门,脊索动物门
雅利安人,纲,哺乳纲
雅利安人,目,灵长目
雅利安人,科,人科
雅利安人,属,人属
雅利安人,种,直立人
雅利安人,纳粹认为地区,北欧
禹迹图,朝 代,宋代
基弗,国籍,德国
味,笔画,8
味,部首,口
四川江油,别称,江油
四川江油,友好城市,绵阳市
四川江油,地域名人,李白
四川江油,行政类别,县级市
四川江油,行政类别,县级市
固原,中文名,固原市
固原,友好城市,阿拉尔市
固原,地方特产,白豌豆
固原,行政类别,地级市
固原,简 称,固
白栎,界,植物界
周秦,民族,汉
周秦,国籍,中国
褪,笔画,14
蓝果树科,别名,珙桐科
蓝果树科,界,植物界
瞿塘峡,所在地,重庆
张之洞,民族族群,汉
张之洞,追赠,太保
接班人,导演,马修
接班人,上映地区,法国
接班人,语言版本,法语
青城山,类别,风景名胜
英文名字,语种,英语
水蚯蚓,界,动物界
水蚯蚓,门,环节动物
淀粉样变性,就诊科室,内科
淀粉样变性,发病部位,全身
儋州,中文名,儋州市
儋州,别称,儋县
儋州,行政类别,地级市
儋州,气候条件,热带季风气候
涉江,作者,屈原
光敏电阻,制作材料,硫化镉
青荚叶,界,植物界
山梨糖醇,中文名称,山梨醇
山梨糖醇,熔点,95
沈氏尊生书,类别,中医
沈氏尊生书,语种,中文
兰江,所在洲,亚洲
兰江,流经区域,浙江
兰江,长度,46
老麻,性别,男
老麻,所处时代,宋朝
螟蛉瘤姬蜂,界,动物界
螟蛉瘤姬蜂,纲,昆虫纲
螟蛉瘤姬蜂,目,十字花目
螟蛉瘤姬蜂,科,姬蜂科
飞机草,界,植物界
eri,象征物,河流
eri,亮星数目,4
eri,最佳观测时间,12月
保温材料,领域,化学
疟蚊,界,动物界
疟蚊,门,节肢动物门
疟蚊,亚门,六足亚门
疟蚊,纲,昆虫纲
疟蚊,亚纲,有翅亚纲
疟蚊,目,双翅目
疟蚊,科,蚊科
疟蚊,分布区域,热带
赘,笔画,14
赘,部首,贝
赘,部首笔划,4
云南省,政府驻地,昆明
云南省,行政类别,省
云南省,行政类别,省
甸,笔画,7
甸,部首,田
宜宾,中文名,宜宾市
宜宾,建立时间,1951年
宜宾,知名产业,工业
宜宾,行政类别,地级市
宜宾,建立时间,1951年
丹增,民族,藏族
丹增,国籍,中国
丹增,政党,中国共产党
丹增,出生日期,1946年
丹增,性别,男
丹增,国籍,中国
丹增,民族,藏族
丹增,职业,作家
鱼蛉,界,动物界
鱼蛉,门,节肢动物门
鱼蛉,纲,昆虫纲
鱼蛉,亚纲,有翅亚纲
鱼蛉,目,广翅目
水莎草,界,植物界
水莎草,纲,单子叶植物纲
水莎草,目,莎草目
水莎草,科,莎草科
水莎草,属,水莎草属
美人樱,界,植物界
美人樱,科,马鞭草科
美人樱,属,马鞭草属
毛瓣金花茶,界,植物界
毛瓣金花茶,分布区域,广西
陈彤,出生日期,1967年
陈彤,性别,男
陈彤,民族,汉族
陈彤,国籍,中国
赤霉素,缩写,GA
赤霉素,本质,植物激素
春黄菊,界,植物界
春黄菊,分布区域,北京
锡林郭勒盟,知名产业,畜牧业
锡林郭勒盟,政府驻地,锡林浩特市
锡林郭勒盟,建立时间,1983年
锡林郭勒盟,行政类别,地级市
木莓,界,植物界
马胃蝇,界,动物界
马胃蝇,门,节肢动物门
马胃蝇,纲,昆虫纲
马胃蝇,亚纲,有翅亚纲
马胃蝇,目,双翅目
马胃蝇,亚目,长角亚目
华盛顿大学,类型,公立大学
乳酸钠,熔点,17
乳酸钠,沸点,140
南安普敦大学,类型,公立大学
乘,笔画,10
更,笔画,7
更,部首,曰
瓤,笔画,22
瓤,部首,瓜
膻中穴,经属,任脉
陕县,外文名,Shan
陕县,行政类别,县
酶制剂,属性,酶
西藏香竹,界,植物界
木蝴蝶,界,植物界
海带目,界,植物界
海带目,门,种子植物门
海带目,纲,双子叶植物纲
肺气肿,传染病,否
肺气肿,就诊科室,内科
肺气肿,发病部位,肺部
圆金柑,界,植物界
圆金柑,科,芸香科
圆金柑,属,金橘属
兰花,界,植物界
兰花,门,被子植物门
兰花,纲,单子叶植物纲
兰花,目,天门冬目
兰花,科,兰科
兰花,属,兰属
白路,上映时间,2011年
欧薄荷,界,植物界
柽,笔画,9
柽,部首,木
白露,季节,秋季
白露,前一节气,处暑
白露,后一节气,秋分
石灰石,中文名称,碳酸钙
野驴,界,动物界
焦距,记号,f
焦距,物距,u
焦距,像距,v
黄帝八十一难经,名称,难经
黄帝八十一难经,语种,中文
黄帝八十一难经,开本,32
构菌,界,植物界
构菌,科,白蘑科
白花杜鹃,界,植物界
白花杜鹃,开放时间,无
松蘑,界,真菌界
挹,笔画,10
挹,部首笔划,3
南岭黄檀,界,植物界
南岭黄檀,门,被子植物门
南岭黄檀,纲,双子叶植物纲
南岭黄檀,目,豆目
南岭黄檀,科,豆科
迪斯科,产生时间,60年
迪斯科,发源地,法国
迪斯科,运动部位,全身
獐,界,动物界
永德,气候条件,亚热带
永德,建立时间,1963年
永德,行政类别,县
剶,笔画,11
剶,部首笔划,2
千斤拔,界,植物界
八角枫,界,植物界
黄晕,近义词,黄昏
黄晕,反义词,黎明
福禄考,界,植物界
操纵子学说,提出时间,1961年
操纵子学说,应用学科,医学
短叶黄杉,界,植物界
蔷薇目,外文名,Rosales
蔷薇目,界,植物界
小类,性别,男
小类,出生地,安徽
小类,民族,汉族
小类,国籍,中国
小类,职业,创作歌手
土壤肥料学,语种,中文
达特茅斯学院,类型,私立大学
卷尾,界,动物界
卷尾,目,雀形目
卷尾,科,卷尾科
传染性支气管炎,别名,鸡传染性支气管炎
传染性支气管炎,传染病,是
藕节,界,植物界
藕节,门,被子植物门
藕节,纲,双子叶植物纲
藕节,目,毛茛目
藕节,科,睡莲科
藕节,属,莲属
藕节,种,莲
佛手蕉,中文学名,牛角蕉
佛手蕉,界,植物界
佛手蕉,门,被子植物门
佛手蕉,纲,单子叶植物纲
佛手蕉,目,姜目
佛手蕉,属,芭蕉属
佛手蕉,种,牛角蕉
26年,上映地区,韩国
嗜中性粒细胞,中文名,中性粒细胞
胶东,行政区类别,地区
梅契尼科夫,国籍,俄国
梅契尼科夫,去世日期,1916年
阳朔,中文名,阳朔县
阳朔,建立时间,1981年
《耕织图》,语种,汉语
《耕织图》,出版时间,2000年
黄蜡,中文名,蜂蜡
YC,中文名,yc
云锦,类别,工艺品
新郑县,所属地区,郑州
扫帚菜,中文学名,扫帚草
扫帚菜,界,植物界
扫帚菜,种,扫帚草
铜钱,首次发行时间,秦汉
鲜花,命名者及年代,古希腊
德拜,性别,男
德拜,国籍,美国
德拜,毕业院校,慕尼黑大学
女山湖,类别,风景名胜
女山湖,所在地,滁州
银汉鱼,界,动物界
银汉鱼,门,脊索动物门
舒城兰花,界,植物界
舒城兰花,种,茶叶
十字,起源,Berry
王太岳,性别,男
王太岳,所处时代,清朝
姜属,界,植物界
小辫,中文学名,紫菀
小辫,界,植物界
太守,始称,郡守
落叶夜蛾,界,动物界
落叶夜蛾,目,鳞翅目
落叶夜蛾,科,夜蛾科
白鳝,中文学名,鳗鱼
白鳝,界,动物界
包皮环切术,类型,医学
包皮环切术,适用领域范围,手术
刀角瓢虫,界,动物界
者,笔画,8
者,部首,日
者,部首笔划,4
者,结构,上下
vf,传染病,否
vf,是否进入医保,是
晶,笔画,12
晶,部首,日
晶,部首笔划,4
老山,开放时间,全天
老山,所在地,池州
姜岐,所处时代,东汉
姜岐,民族族群,汉族
红菜,界,植物界
红菜,门,种子植物门
红菜,目,白花菜目
红菜,科,十字花科
D,英文名,d
常顺,地区,云南
常顺,行业,医生
苦麻菜,界,植物界
颤,笔画,19
颤,部首,页
蚤蝼总科,界,动物界
蚋,界,动物界
秦惠文王,所处时代,战国
秦惠文王,民族族群,华夏族
秦惠文王,出生地,咸阳
秦惠文王,国籍,秦国
甜酒,主要原料,糯米
莱阳,中文名,莱阳市
莱阳,地方特产,莱阳茌梨
莱阳,地方特产,莱阳茌梨
面积公式,学科领域,平面几何
周穆王,出生地,镐京
周穆王,民族,华夏
周穆王,国籍,周朝
周穆王,职业,君王
沙棘属,界,植物界
目乌贼,界,动物界
目乌贼,门,软体动物门
临浦,建立时间,宋代
Chara,籍贯,川口市
Chara,血型,AB
Chara,国籍,日本
猪绦虫,界,动物界
猪绦虫,门,扁形动物门
猪绦虫,纲,绦虫纲
猪绦虫,目,圆叶目
软叶刺葵,界,植物界
霞草,界,植物界
药疹,传染病,是
药疹,疫苗预防,否
药疹,发病部位,皮肤
马雁,性别,女
马雁,民族,汉族
马雁,国籍,中国
马雁,职业,教育
台湾杉木,界,植物界
台湾杉木,门,松柏门
台湾杉木,纲,松柏纲
台湾杉木,目,松柏目
台湾杉木,属,杉木属
台湾杉木,种,杉木
天竹,中文学名,南天竹
天竹,界,植物界
泰晤士河,所属地区,英国
鹅膏科,界,植物界
鹅膏科,目,伞菌目
剖,笔画,10
年代,英文名,age
年代,解释,时期
emu,创办时间,1849年
emu,学校类型,综合
emu,学校属性,公立大学
崔应阶,民族,汉族
崔应阶,国籍,中国
崔应阶,去世日期,1780年
临漳,中文名,临漳县
Catalogue,中文名,目录
急性肾盂肾炎,别名,肾炎
急性肾盂肾炎,季节分布,四季
急性肾盂肾炎,疫苗预防,否
急性肾盂肾炎,就诊科室,内科
急性肾盂肾炎,发病部位,肾
低钠血症,传染病,否
低钠血症,就诊科室,内科
常松,地区,天津
常松,行业,医生
Rg,中文名,RG
Rg,接入,互联网
棒,笔画,12
棒,部首,木
白蛾蜡蝉,界,动物界
白蛾蜡蝉,目,同翅目
风筝,发行地区,中国大陆
风筝,发行语言,普通话
风筝,颜色,彩色
主观概率法,对象,企业
主观概率法,归属,数学
仇元,国籍,中国
仇元,去世年月,1981年
韩城,机场,西安咸阳国际机场
稻巢螟,界,动物界
三门峡大坝,所在地,三门峡
三门峡大坝,开放时间,全天
食蟹猴,界,动物界
食蟹猴,门,脊索动物门
食蟹猴,亚门,脊椎动物亚门
食蟹猴,纲,哺乳纲
血小板增多症,季节分布,四季
血小板增多症,就诊科室,内科
汉,中文名,汉朝
汉,所属洲,亚洲
汉,政治体制,君主专制政体
汉,主要民族,汉族
音频,性质,声波
画廊,起源时间,16世纪
酱,用法用量,适量
酱,防腐剂,是
叶生根,中文学名,落地生根
叶生根,界,植物界
叶生根,科,景天科
艾灸法,中文名,艾灸
艾灸法,国家,中国
蝙蝠刺,中文学名,牛蒡
蝙蝠刺,界,植物界
蝙蝠刺,族,菜蓟族
蝙蝠刺,生态习性,陆生植物
蝙蝠刺,水 分,耐旱
蝙蝠刺,温 度,耐寒
高丛,界,植物界
高丛,门,被子植物门
高丛,纲,双子叶植物纲
鼓浪屿,所属国家,中国
鼓浪屿,所属省份,福建
鼓浪屿,行政区类别,街道
鼓浪屿,所在地,厦门
鼓浪屿,类别,风景名胜
鼓浪屿,周边地区,厦门大学
烟青虫,界,动物界
周期函数,类别,数学
周期函数,应用领域,数学
锅巴,是否含防腐剂,是
宝岛,价格,15
宝岛,语种,汉语
宝岛,出版时间,2009年
王群,性别,男
王群,国籍,中国
王群,民族,汉族
王群,政党,中国共产党
肢,英文,limb
肢,笔画,8
肢,部首,月
肢,部首笔划,8
肢,词性,名词
咯,笔画,9
咯,部首,口
陡河,中文名,灵渠
陡河,所在地,桂林
陡河,类别,名胜古迹
滨海县,行政类别,县
滨海县,行政类别,县
铁线草,中文学名,铁线蕨
铁线草,界,植物界
枫树,外文名,Acer
枫树,界,植物界
枫树,门,被子植物门
枫树,纲,双子叶植物纲
枫树,目,蔷薇目
枫树,科,金缕梅科
泰定帝,民族,蒙古族
泰定帝,国籍,中国
泰定帝,去世日期,1328年
泰定帝,职业,皇帝
雷公藤属,界,植物界
巴塞罗那,机场,巴塞罗那机场
巴塞罗那,行政类别,市
巴塞罗那,地方方言,西班牙语
巴塞罗那,气候条件,地中海气候
贵州苏铁,界,植物界
段雨强,民族,汉族
段雨强,国籍,中国
肿瘤,外文名,Tumor
肿瘤,别名,癌
肿瘤,传染病,否
肿瘤,发病部位,全身
荒,笔画,9
雪白睡莲,分布区域,新疆
烧瓶,英文名,flask
棉被,填充物,棉纤维
赤豆螺,界,动物界
吴乃虎,性别,男
吴乃虎,国籍,中国
吴乃虎,职业,博士生导师
吴乃虎,毕业院校,北京大学
墨白,籍贯,河南
墨白,民族,汉族
墨白,国籍,中国
墨白,出生日期,1956年
墨白,性别,男
墨白,国籍,中国
擎天树,中文学名,望天树
擎天树,界,植物界
擎天树,门,被子植物门
擎天树,纲,双子叶植物纲
擎天树,目,锦葵目
擎天树,科,龙脑香科
擎天树,属,柳安属
擎天树,种,望天树
混凝土外加剂,简称,外加剂
紫花野菊,界,植物界
仙茅,界,植物界
棉褐带卷蛾,界,动物界
棉褐带卷蛾,门,节肢动物门
棉褐带卷蛾,纲,昆虫纲
西魏废帝,性别,男
西魏废帝,外文名,元钦
西魏废帝,民族,鲜卑族
沙枣树,中文学名,沙枣
沙枣树,界,植物界
清明花属,界,植物界
白光,性别,男
白光,国籍,中国
紫堇属,界,植物界
天,笔画,4
天,部首,大
紫穗槐豆象,界,动物界
紫穗槐豆象,门,节肢动物门
紫穗槐豆象,纲,昆虫纲
紫穗槐豆象,目,鞘翅目
紫穗槐豆象,科,豆象科
鹅菜,中文学名,茼蒿
鹅菜,界,植物界
栗,笔画,10
栗,部首,木
栗,界,植物界
栗,门,被子植物门
腐,笔画,14
腐,部首,肉
腱,笔画,12
腱,部首,月
彼得斯,国籍,德国
彼得斯,性别,男
彼得斯,国籍,德国
锥状细胞,所属,生物
锥状细胞,性质,感光细胞
半坡遗址,类别,遗址
忍冬花,中文学名,金银花
忍冬花,界,植物界
忍冬花,门,被子植物门
忍冬花,纲,双子叶植物纲
忍冬花,目,茜草目
忍冬花,科,忍冬科
忍冬花,属,忍冬属
忍冬花,种,金银花
真鲷,界,动物界
真鲷,亚门,脊椎动物亚门
真鲷,亚目,鲈亚目
厦门水产学院,词性,名词
厦门水产学院,类型,学校
尼可拉鹤望兰,界,植物界
尼可拉鹤望兰,门,被子植物
尼可拉鹤望兰,科,兰科
尼可拉鹤望兰,属,鹤望兰
兰州市,中文名,兰州
兰州市,别称,金城
兰州市,行政类别,地级市
东莱,界,植物界
东莱,纲,单子叶植物纲
东莱,目,兰目
东莱,科,兰科
粉煤灰,状态,固体
猪屎豆,界,植物界
欧洲鸡瘟,中文名,禽流感
km,简称,KM
疼痛,中文名,牙痛
疼痛,就诊科室,五官科
赤拟谷盗,界,动物界
赤拟谷盗,门,节肢动物门
赤拟谷盗,纲,昆虫纲
赤拟谷盗,亚纲,有翅亚纲
赤拟谷盗,目,鞘翅目
珊瑚花,界,植物界
雍,笔画,13
雍,部首笔划,8
腰筋,应用领域,建筑
新山,所属地区,柔佛州
新山,行政类别,市
新山,气候条件,热带雨林气候
甘蔗红粉蚧,界,动物界
甘蔗红粉蚧,科,粉蚧科
财务关系,隶属,经济学
时辰,适用范围,中国
Taylor,姓名,布鲁克·泰勒
心脏瓣膜,界,动物界
杓,笔画,7
杓,部首,木
劲,笔画,7
劲,部首,力
辩,笔画,16
辩,部首,辛
蠕形螨科,界,动物界
蠕形螨科,亚纲,蜱螨亚纲
蠕形螨科,目,真螨目
葡萄干,主要原料,葡萄
葡萄干,副作用,肥胖
葡萄干,防腐剂,否
江河日下,近义词,每况愈下
山花,界,植物界
线麻,中文名,苎麻根
线麻,界,植物界
线麻,门,被子植物门
线麻,纲,双子叶植物纲
线麻,目,蔷薇目
线麻,科,荨麻科
线麻,种,苎麻根
洪希文,籍贯,福建省
洪希文,国籍,中国
乌梅,界,植物界
乌梅,门,被子植物门
乌梅,纲,双子叶植物纲
乌梅,目,蔷薇目
乌梅,科,蔷薇科
硫酸钙,别名,硬石膏
硫酸钙,化学品类别有机物,无机盐
硫酸钙,管制类型,否
鸡蛋花,界,植物界
天幕毛虫,界,动物界
天幕毛虫,目,鳞翅目
天幕毛虫,科,枯叶蛾科
铜器,中文名,青铜器
克鲁斯,性别,男
克鲁斯,国籍,阿根廷
克鲁斯,运动项目,足球
老姜,界,植物界
老姜,门,被子植物门
老姜,纲,单子叶植物纲
老姜,目,姜目
老姜,科,姜科
老姜,属,姜属
老姜,种,姜
斜纹夜蛾,界,动物界
斜纹夜蛾,目,鳞翅目
艾草,界,植物界
眶,笔画,11
眶,部首,目
马卡,中文学名,玛卡
马卡,界,植物界
马卡,门,被子植物门
马卡,纲,双子叶植物纲
马卡,目,罂粟目
马卡,科,十字花科
